Country,CTS Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,Environmental Protection Expenditures,948090000.4438491,1072800000.4864755,1109530000.4893503,1254700000.5411396,1216650000.5020254,1310830000.5159225,1314080000.49065,1314150000.4627647,1350140000.4596035,1577080000.5475135,1693530000.5723383,1504750000.4852018,1528350000.479628,1457160000.4498653,1514370000.4545662,1397700000.4059904,1348420000.3770666,1323980000.3584507,1436150000.3726158,1573600000.395856,1577430000.4158566,1751410000.4344811
Austria,Expenditure on Biodiversity & Landscape Protection,38890000.01820638,39420000.01787552,35830000.01580257,44090000.01901558,51560000.02127516,58110000.022871196,58730000.02192855,61890000.02179394,65780000.02239228,62100000.0215592,64920000.0219401,62450000.02013681,59440000.01865351,60170000.01857614,63830000.019159764,72420000.02103586,81810000.02287701,74660000.02021325,79640000.02066296,83160000.02091978,85630000.02257457,90280000.02239622
Austria,Expenditure on Environmental Protection Not Elsewhere Classified,155180000.07264763,180490000.08184558,163870000.0722737,205950000.08882418,186030000.07676142,189860000.07472596,187900000.07015792,214920000.07568192,209690000.07138094,181690000.06307715,189500000.06404263,173740000.05602193,187920000.05897322,179620000.05545363,194010000.0582357,180600000.05245894,199800000.05587122,177330000.04800984,186240000.04832083,185760000.0467299,171920000.04532313,186450000.0462536
Austria,Expenditure on Environmental Protection R&D,72310000.03385198,77550000.03516608,74210000.03272979,79270000.03418836,59640000.02460921,64850000.02552396,73790000.02755164,79340000.02793878,82410000.02805333,75970000.02637443,78980000.02669175,93300000.0300843,93290000.02927636,81780000.02524774,86330000.02591355,79260000.02302267,85910000.02402352,77160000.02089009,76830000.0199339,88480000.02225809,91610000.02415107,96460000.02392931
Austria,Expenditure on Pollution Abatement,300490000.14067465,306920000.13917696,324320000.14303905,424160000.182936,407560000.16817117,421910000.1660573,408860000.1526597,351350000.1237244,391160000.13315547,673340000.2337629,786380000.2657617,603120000.1944742,626240000.1965272,634370000.1958475,568190000.1705528,508770000.14778256,457250000.12786347,513990000.1391562,570410000.1479955,651480000.1638867,645230000.1701015,770030000.1910253
Austria,Expenditure on Waste Management,118820000.05562568,125630000.0569686,132000000.05821766,131730000.05681385,123910000.0511289,150370000.0591833,149170000.05569693,151940000.05350414,162300000.05524883,160270000.0556408,160330000.05418447,161540000.05208808,158530000.04975003,158190000.0488376,165550000.0496929,173190000.05030656,173630000.04855317,173500000.0469729,183990000.04773706,190590000.04794493,195990000.0516687,216280000.0536537
Austria,Expenditure on Waste Water Management,262390000.12283808,342790000.1554427,379300000.1672876,369490000.15935737,387940000.16007537,425730000.16756076,435620000.16265136,454720000.1601251,438790000.14936924,423710000.147099,413420000.1397177,410600000.1323967,402930000.12644786,343020000.10589975,436460000.1310116,383460000.11138374,350030000.0978809,307320000.08320296,339050000.08796805,374130000.0941164,387040000.10203505,391930000.09722805
Belgium,Environmental Protection Expenditures,2020800000.7882173,2165700000.819301,2260900000.8273954,2379400000.846156,2594000000.8739305,2631400000.8487372,2650000000.815006,2787000000.811073,3371200000.95843,3611400001.042332,4441500001.223082,5679300001.510581,6086400001.576073,6058700001.542125,5492600001.362914,5271200001.26498,5058700001.176209,5590500001.256151,5912200001.2850065,6270400001.311141,6648600001.455689,6755300001.334498
Belgium,Expenditure on Biodiversity & Landscape Protection,0.0,13600000.005144985,28100000.010283437,28600000.01017066,168500000.05676842,162900000.05254212,156700000.048193,133200000.03876387,174900000.04972395,156800000.04525605,166900000.04596025,200200000.0532492,184900000.04787984,218800000.0556913,293100000.0727288,211300000.0507077,252500000.05870932,260800000.05860016,219900000.04779488,277900000.0581089,282500000.06185246,323400000.0638872
Belgium,Expenditure on Environmental Protection Not Elsewhere Classified,0.0,406100000.1536308,402400000.14726174,380800000.13541913,315600000.10632706,335700000.1082774,319800000.0983543,402100000.1170191,446100000.1268259,521900000.1506322,541400000.1490885,581200000.1545876,600600000.1555253,596000000.1517003,555100000.1377406,520100000.12481344,520400000.12099934,594200000.1335131,566800000.123193,638200000.1334476,649500000.142206,688600000.1360319
Belgium,Expenditure on Environmental Protection R&D,0.0,4100000.001551062,3400000.001244259,4900000.001742526,39000000.01313928,43300000.013966076,39900000.012271225,36400000.01059313,41400000.01176999,29600000.008543234,40600000.01118026,40800000.01085199,46500000.012041174,42400000.0107921,53100000.01317605,51900000.01245494,58600000.01362521,90400000.02031232,88100000.01914838,87400000.01827535,61600000.01348712,119800000.0236663
Belgium,Expenditure on Pollution Abatement,0.0,108600000.04108423,109000000.03988948,206100000.07329276,274100000.09234554,322200000.1039231,445000000.1368595,585700000.1704504,793600000.2256199,1020500000.2945396,2091800000.5760312,3127700000.831906,3464800000.8972096,3289800000.837355,2829900000.7022014,2614200000.6273546,2262700000.5261054,2559100000.575014,2753700000.598512,2795400000.5845184,3066700000.671444,3042500000.6010413
Belgium,Expenditure on Waste Management,0.0,1051600000.3978285,1120900000.410203,1160300000.412623,1272600000.4287448,1324400000.4271748,1287100000.3958468,1366000000.3975334,1674100000.4759455,1620300000.4676554,1497700000.4124305,1566200000.416578,1560600000.4041173,1578000000.4016495,1478500000.36687,1529100000.366953,1631700000.3793902,1726600000.3879564,1847900000.401638,1994200000.4169872,2058900000.4507895,2009500000.3969736
Belgium,Expenditure on Waste Water Management,0.0,581500000.219986,597100000.2185138,598800000.2129438,524200000.17660534,442900000.1428539,401400000.12345034,263700000.07674196,241000000.06851614,262300000.07570577,103100000.02839126,163100000.04338136,229100000.05932543,333800000.0849623,283000000.0702226,344600000.082697,332800000.07738006,359300000.0807325,435800000.09472036,477300000.09980345,529300000.11588854,571500000.112899
Bulgaria,Environmental Protection Expenditures,305800001.0872935,371477001.1988277,240210000.7050751,333336000.9098117,324370000.78728104,329413000.7006217,626667001.1689708,767013001.2087532,493109000.6774373,803044001.0973325,498008000.66509545,555385000.6846087,565529000.6842796,774774000.9420681,577449000.6862115,696716000.7775869,629409000.6598237,688286000.6699257,768805000.6991413,810898000.67353,836399000.6972834,1093823000.8240075
Bulgaria,Expenditure on Biodiversity & Landscape Protection,0.0,28997000.093578894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8860000.00988842,1481000.001552566,12897000.012552967,7335000.006670353,11516000.009565163,5741000.004786118,22033000.01659808
Bulgaria,Expenditure on Environmental Protection Not Elsewhere Classified,294640001.0476134,334635001.0799315,80979000.23769316,170557000.46552053,126722000.30756798,92826000.1974297,272576000.5084573,466464000.73511124,133362000.18321384,383301000.5237679,81717000.10913399,96599000.11907507,96541000.11681281,196585000.2390329,43667000.05189168,45832000.051151924,76466000.08016104,71641000.06972995,107625000.09787276,107372000.08918293,93746000.07815352,90257000.06799313
Bulgaria,Expenditure on Waste Management,11160000.03968017,7845000.025317323,159231000.46738192,162779000.44429117,197648000.47971305,236587000.503192,354091000.6605136,300551000.47364515,337921000.46423876,403674000.5516069,406134000.5423966,447402000.55150086,451589000.54641426,501041000.60922897,531334000.6314107,637801000.7118335,546062000.5724491,581644000.5661285,652461000.5933396,690726000.5737154,706479000.5889726,855535000.6444986
Bulgaria,Expenditure on Waste Water Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21827000.029986117,16068000.021956379,10157000.01356479,11385000.014033994,17398000.021051254,77148000.0938063,2448000.002909081,4224000.004714299,5399000.005659893,22104000.021514367,1114000.001013057,1283000.001065657,30433000.025371175,125955000.09488544
"Croatia, Rep. of",Environmental Protection Expenditures,158874000.08788154,153135000.07887906,172972000.08116063,175225000.0746986,192219000.07591766,195532000.07179227,196621000.06622174,251802000.07752907,269560000.0772031,289326000.08679736,261585000.07873777,248391000.07358164,257951000.07709396,285508000.084984,287890000.0858622,380278000.11053467,528389000.1484564,451690000.1213063,507311000.12979484,592154000.1436472,655443000.1732404,867608000.2014774
"Croatia, Rep. of",Expenditure on Biodiversity & Landscape Protection,19749000.010924205,19197000.009888276,22134000.01038555,25133000.010714225,23126000.009133708,27078000.009942062,32819000.011053406,33861000.010425694,25947000.00743133,29077000.008723058,26175000.007878743,29352000.008695032,32031000.009573124,50701000.015091605,54109000.01613782,63052000.01832721,64414000.01809779,61919000.016629025,91424000.02339071,122151000.0296319,88154000.02330002,90942000.0211187
"Croatia, Rep. of",Expenditure on Environmental Protection Not Elsewhere Classified,93605000.05177782,83141000.0428255,92369000.0433407,78989000.0336731,100500000.03969288,101015000.03708905,83327000.02806444,141283000.0435006,153932000.04408675,167538000.05026114,146034000.0439566,138400000.04099867,157289000.04700905,161398000.04804155,162005000.04831743,175662000.05105934,335000000.09412175,280504000.0753324,112194000.02870469,160630000.0389663,239974000.06342763,425030000.0987012
"Croatia, Rep. of",Expenditure on Environmental Protection R&D,1912000.001057627,2066000.001064186,2581000.001211038,2571000.00109602,2978000.001176173,6139000.002254019,7735000.00260514,8112000.00249766,10599000.003035598,7408000.002222389,13957000.004201094,5812000.001721707,9308000.002781887,6307000.001877335,6368000.001899234,4259000.001237955,4236000.001190148,3729000.001001464,5716000.001462431,6563000.00159208,6631000.001752642,5817000.001350834
