Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,hc-key
Austria,948090000.4,1072800000,1109530000,1254700001,1216650001,1310830001,1314080000,1314150000,1350140000,1577080001,1693530001,1504750000,1528350000,1457160000,1514370000,1397700000,1348420000,1323980000,1436150000,1573600000,1577430000,1751410000,at
Belgium,2020800001,2165700001,2260900001,2379400001,2594000001,2631400001,2650000001,2787000001,3371200001,3611400001,4441500001,5679300002,6086400002,6058700002,5492600001,5271200001,5058700001,5590500001,5912200001,6270400001,6648600001,6755300001,be
Bulgaria,305800001.1,371477001.2,240210000.7,333336000.9,324370000.8,329413000.7,626667001.2,767013001.2,493109000.7,803044001.1,498008000.7,555385000.7,565529000.7,774774000.9,577449000.7,696716000.8,629409000.7,688286000.7,768805000.7,810898000.7,836399000.7,1093823001,bg
"Croatia, Rep. of",158874000.1,153135000.1,172972000.1,175225000.1,192219000.1,195532000.1,196621000.1,251802000.1,269560000.1,289326000.1,261585000.1,248391000.1,257951000.1,285508000.1,287890000.1,380278000.1,528389000.1,451690000.1,507311000.1,592154000.1,655443000.2,867608000.2,hr
Cyprus,22800000.22,27000000.24,27700000.23,31500000.25,37100000.27,42400000.29,43200000.27,46900000.27,51500000.27,54600000.29,58300000.3,60600000.31,54100000.28,44003000.24,45775000.26,62800000.35,46300000.24,55600000.27,55800000.26,61800000.27,74400000.34,89800000.38,cnm
Czech Rep.,20770000001,22208000001,24009000001,29812000001,31229000001,35302000001,37598000001,36919000001,36714000001,27092000001,39465000001,51885000001,53911000001,41598000001,46147000001,51312000001,35940000001,40972000001,46073000001,48298000001,51459000001,56911000001,cz
Denmark,6674000001,8301000001,9606000001,8963000001,8488000001,9886000001,9663000001,9022000001,8203000000,7588000000,7447000000,7083000000,7578000000,9130000000,9196000000,8615000000,8498000000,8869000000,8938000000,8981000000,9383000000,9249000000,dk
"Estonia, Rep. of",32800000.53,50700000.73,48300000.62,62500000.71,68200000.7,105100000.9,107500000.8,140200000.9,178700001.1,108900000.8,-38100000.26,-28700000.17,158300000.9,126000000.7,137000000.7,149500000.7,128800000.6,175300000.7,193400000.7,187300000.7,184200000.7,174400000.6,ee
Finland,427000000.3,434000000.3,442000000.3,459000000.3,452000000.3,517000000.3,543000000.3,597000000.3,594000000.3,619000000.3,520000000.3,480000000.2,496000000.2,522000000.3,521000000.3,499000000.2,493000000.2,453000000.2,462000000.2,464000000.2,543000000.2,579000000.2,fi
France,10292000001,11475000001,12037000001,13178000001,14270000001,15326000001,16554000001,16875000001,17795000001,19207000001,19833000001,20406000001,21009000001,21651000001,21995000001,22083000001,21113000001,21477000001,22769000001,24266000001,23973000001,26013000001,fr
