Country,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,"Climate related disasters frequency, Number of Disasters: TOTAL",2,0,3,1,0,3,1,2,1,4,0,0,1,1,0,0,1,2,0,2,0,1
Belgium,"Climate related disasters frequency, Number of Disasters: TOTAL",0,0,5,2,0,3,1,1,2,0,3,2,1,2,1,1,2,0,2,3,2,3
Bulgaria,"Climate related disasters frequency, Number of Disasters: TOTAL",4,2,1,0,0,7,2,6,1,0,2,0,3,0,5,1,0,0,1,0,0,2
Croatia,"Climate related disasters frequency, Number of Disasters: TOTAL",3,1,0,3,0,3,1,2,0,0,3,0,3,0,2,1,0,2,1,1,0,0
Cyprus,"Climate related disasters frequency, Number of Disasters: TOTAL",3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Czech Republic,"Climate related disasters frequency, Number of Disasters: TOTAL",1,0,3,1,0,3,2,1,1,2,4,0,2,1,0,0,0,1,1,0,1,3
Denmark,"Climate related disasters frequency, Number of Disasters: TOTAL",0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Estonia,"Climate related disasters frequency, Number of Disasters: TOTAL",0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Finland,"Climate related disasters frequency, Number of Disasters: TOTAL",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,"Climate related disasters frequency, Number of Disasters: TOTAL",7,7,5,6,1,5,3,3,4,4,4,2,1,3,7,3,1,3,7,9,7,9
Germany,"Climate related disasters frequency, Number of Disasters: TOTAL",0,1,4,3,1,5,5,3,3,3,4,1,2,4,2,0,1,3,2,3,1,3
Greece,"Climate related disasters frequency, Number of Disasters: TOTAL",5,2,5,3,2,0,3,4,0,2,1,0,2,0,1,2,1,2,1,1,2,1
Hungary,"Climate related disasters frequency, Number of Disasters: TOTAL",1,2,1,2,1,4,2,1,1,0,1,0,1,2,1,0,1,1,1,1,0,0
Ireland,"Climate related disasters frequency, Number of Disasters: TOTAL",1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0
Italy,"Climate related disasters frequency, Number of Disasters: TOTAL",4,3,4,3,1,1,2,2,3,4,3,4,3,1,5,4,1,4,4,5,7,2
Latvia,"Climate related disasters frequency, Number of Disasters: TOTAL",0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Lithuania,"Climate related disasters frequency, Number of Disasters: TOTAL",0,1,0,0,0,2,1,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0
Luxembourg,"Climate related disasters frequency, Number of Disasters: TOTAL",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Netherlands,"Climate related disasters frequency, Number of Disasters: TOTAL",0,0,1,1,0,3,1,1,1,0,1,0,1,3,0,0,1,0,2,1,1,2
Poland,"Climate related disasters frequency, Number of Disasters: TOTAL",1,2,3,0,1,4,1,2,2,3,3,1,4,2,1,2,2,1,2,1,2,3
Portugal,"Climate related disasters frequency, Number of Disasters: TOTAL",1,2,1,3,2,2,2,0,2,0,3,0,0,3,2,1,1,2,3,1,0,0
Romania,"Climate related disasters frequency, Number of Disasters: TOTAL",5,3,4,2,6,9,7,6,3,3,2,0,1,1,3,1,2,1,3,1,1,1
Slovakia,"Climate related disasters frequency, Number of Disasters: TOTAL",1,1,1,1,2,2,2,1,0,0,3,0,1,1,0,0,0,1,0,1,1,1
Slovenia,"Climate related disasters frequency, Number of Disasters: TOTAL",0,0,0,1,0,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,1
Spain,"Climate related disasters frequency, Number of Disasters: TOTAL",5,1,1,2,3,2,3,4,0,2,2,1,2,2,1,2,1,2,4,8,1,3
Sweden,"Climate related disasters frequency, Number of Disasters: TOTAL",0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
United Kingdom,"Climate related disasters frequency, Number of Disasters: TOTAL",6,2,5,1,1,4,0,4,3,3,2,0,5,5,2,2,0,1,2,3,3,1
Malta,"Climate related disasters frequency, Number of Disasters: TOTAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
